date,devinette,réponse
01/01,Je parle sans bouche et j'entends sans oreilles. Qui suis-je ?,un écho
02/01,Qu'est-ce qui a des yeux mais ne voit pas ?,une pomme de terre
03/01,Qu'est-ce qui a des clefs mais n'ouvre aucune porte ?,un piano
04/01,Qu'est-ce qui va de mer en mer mais reste toujours au même endroit ?,un bateau
05/01,Qu'est-ce qui a une tête, un corps et quatre pattes mais ne vit pas ?,un lit
06/01,Qu'est-ce qui monte toujours mais descend jamais ?,un âge
07/01,Plus tu en enlèves, plus il devient lourd. C'est quoi ?,un trou
08/01,Qu'est-ce qui a des dents mais ne mange jamais ?,une peigne
09/01,Qu'est-ce qui a des mains mais ne peut pas applaudir ?,une horloge
10/01,Qu'est-ce qui a un cou mais pas de tête ?,une bouteille
11/01,Je suis toujours devant toi mais tu ne peux jamais me voir. Qui suis-je ?,ton avenir
12/01,Qu'est-ce qui arrive une fois dans une minute, deux fois dans un moment mais jamais dans mille ans ?,la lettre M
13/01,Qu'est-ce qui a des branches mais pas de feuilles ?,une banque
14/01,Qu'est-ce qui a un anneau mais pas de doigt ?,un téléphone
15/01,Je suis légère comme une plume mais personne ne peut me retenir très longtemps. Qui suis-je ?,ma respiration
16/01,Qu'est-ce qui a des os mais pas de chair ?,un squelette
17/01,Qu'est-ce qui a des feuilles mais n'est pas un arbre ?,un livre
18/01,Qu'est-ce qui a une langue mais ne peut pas parler ?,une chaussure
19/01,Qu'est-ce qui a un pied mais pas de jambe ?,un escabeau
20/01,Qu'est-ce qui a des yeux mais ne peut pas voir ?,une aiguille
21/01,Qu'est-ce qui court sans jambes ?,un nez
22/01,Qu'est-ce qui a un cou mais pas de tête ni de corps ?,une chemise
23/01,Qu'est-ce qui a des ongles mais pas de doigts ?,un tableau
24/01,Qu'est-ce qui a des côtes mais pas de chair ?,un parapluie
25/01,Qu'est-ce qui a un bec mais ne chante pas ?,un tuyau
26/01,Qu'est-ce qui a des dents mais ne mord pas ?,une scie
27/01,Qu'est-ce qui pleure sans yeux ?,un nuage
28/01,Qu'est-ce qui a des plumes mais ne vole pas ?,un plumeau
29/01,Qu'est-ce qui a une queue mais pas de corps ?,une pièce de monnaie
30/01,Qu'est-ce qui a des oreilles mais n'entend pas ?,un pot
31/01,Qu'est-ce qui s'en va tout rond et revient tout rond ?,une bille
01/02,Qu'est-ce qui a des racines qu'on ne voit jamais et des feuilles qu'on ne voit jamais ?,un arbre généalogique
02/02,Qu'est-ce qui est plein de trous mais peut quand même retenir l'eau ?,une éponge
03/02,Qu'est-ce qui a une gorge mais ne peut avaler ?,une bouteille
04/02,Qu'est-ce qui a une langue et un corps mais pas de tête ?,un poisson (plat)
05/02,Qu'est-ce qui a des yeux mais ne peut pas voir sa propre queue ?,une plume
06/02,Qu'est-ce qui a un dos mais pas de corps ?,un livre
07/02,Qu'est-ce qui a des bras mais pas de mains ?,une chemise
08/02,Qu'est-ce qui a une cheville mais pas de pied ?,une bouteille
09/02,Qu'est-ce qui a une main mais pas de bras ?,un cadran
10/02,Qu'est-ce qui est noir quand on l'achète, rouge quand on l'utilise, gris quand on le jette ?,du charbon
11/02,Qu'est-ce qui a des dents mais ne mange rien ?,une fermeture éclair
12/02,Qu'est-ce qui a un lit mais ne dort jamais ?,une rivière
13/02,Qu'est-ce qui a un chapeau mais n'a pas de tête ?,un champignon
14/02,Qu'est-ce qui est blanc et noir et rouge tout rond ?,un journal
15/02,Qu'est-ce qui a des jambes mais ne marche pas ?,une table
16/02,Qu'est-ce qui a un nez mais ne sent rien ?,un avion
17/02,Qu'est-ce qui a des épaules mais pas de bras ?,une route
18/02,Qu'est-ce qui a des orteils mais pas de pieds ?,une chaussure
19/02,Qu'est-ce qui a un coude mais pas de bras ?,un tuyau
20/02,Qu'est-ce qui a une langue mais ne peut goûter ?,une ceinture
21/02,Qu'est-ce qui a un front mais pas de visage ?,un livre
22/02,Qu'est-ce qui a des semelles mais pas de chaussures ?,un pain
23/02,Qu'est-ce qui a des gonds mais n'ouvre pas de porte ?,un fromage
24/02,Qu'est-ce qui a un manche mais pas de main ?,un couteau
25/02,Qu'est-ce qui a des jarrets mais ne court pas ?,du vin
26/02,Qu'est-ce qui a une peau mais pas de chair ?,une saucisse
27/02,Qu'est-ce qui a un cœur mais pas de corps ?,une salade
28/02,Qu'est-ce qui a un foie mais pas d'estomac ?,du pâté
29/02,Qu'est-ce qui est plus humide quand il gèle ?,un cheval
01/03,Je suis plus grand que Dieu, plus mauvais que le diable. Les pauvres n'ont rien, les riches ont besoin de moi. Si tu me manges, tu meurs. Qui suis-je ?,le rien
02/03,Qu'est-ce qui arrive quand on me dit "je te le donne", et disparaît quand on dit "je te le prête" ?,un secret
03/03,Qu'est-ce qui est derrière toi quand tu es devant la porte ?,la serrure
04/03,Qu'est-ce qui est plus léger qu'une plume mais que personne ne peut tenir plus d'une minute ?,son souffle
05/03,Qu'est-ce qui a cinq doigts mais n'est pas vivant ?,une main
06/03,Qu'est-ce qui a cent jambes mais ne peut pas marcher ?,un cent-pieds (poisson)
