Date,Proverbe,Traduction
01/01,Ti kouto pa ka kouté chè.,Les petites choses peuvent rendre de grands services.
02/01,Dlo pa ka monté montay.,On revient toujours à l’origine.
03/01,Sa ki pa touye’w ka fè’w fò.,Ce qui ne te tue pas te rend fort.
04/01,Konpè lapen ka dòmi épi zyé’y ouvè.,Sois vigilant.
05/01,Chyen ka janmen ni pwopriyot.,On va où est l'intérêt.
06/01,Sé pa lè dlo monté ou ka fè baraj.,Prépare-toi à l’avance.
07/01,Zépon ka charié kò’y.,On assume ses actes.
08/01,"Konpè zannoli ka glissé, i pa ka tonbé.",On se reprend toujours.
09/01,"Dlo ka roulé, mé li pa ka krazé roch.",La patience use les obstacles.
10/01,Kannari pa ka fè kannari blan.,On ne change pas sa nature.
11/01,Mango mi pa pou tout moun.,Tout le monde ne mérite pas tout.
12/01,"Si'w lé manjé la pann, pa pé sa cho.",Il faut accepter les risques pour obtenir ce qu’on veut.
13/01,"Koumansman sé mizik, fini sé tanbou.",Tout finit par la réalité.
14/01,An moun ki ka maché douvan ka wè pli lwen.,La personne en avance voit plus loin.
15/01,Tout chyen ka mòyé an bout chenn li.,Chacun défend son territoire.
16/01,Sé ti gout dlo ki ka fè gran rivyè.,Les petites choses créent les grandes.
17/01,Tout sa ki kléré pa lò.,Tout ce qui brille n'est pas or.
18/01,Sé pa tout zo ka bay bouyon.,Tout ne donne pas les mêmes résultats.
19/01,Zétwal ka briyé plis an nwit fwè.,La difficulté révèle la force.
20/01,Péché cho ka monté tousèl.,La vérité remonte toujours.
21/01,Jou pa ka kouté lannwit.,Chacun a son expérience.
22/01,Ti poul ka suiv manman’y.,On suit son exemple.
23/01,Dlo anba baton pi danjéré.,Les dangers cachés sont les pires.
24/01,Konpè krab ka maché déotwa.,Chacun avance à sa manière.
25/01,Batiman ki chajé ka plonjé facil.,Trop de charges font sombrer.
26/01,"Lè poul ni dan, chat ké volé.",Impossible n'arrivera pas.
27/01,Toupatou sé patjé.,On se sent partout chez soi.
28/01,Chyen ka janmen mòyé san rézon.,Tout a une cause.
29/01,Danbé sé laviktwa.,La persévérance mène loin.
30/01,Tout bagay ka vini épi tan.,Tout arrive en temps voulu.
31/01,Zétwal ka pran tan'y pou fè mizik : Pou chonjé fòs'w.,Pou chonjé fòs'w
01/02,Tanbou ka fè chimen'y : Pou viv an lanmou.,Pou viv an lanmou
02/02,Kannari ka pran tan'y pou fè mizik : Pou sonjé koté'w sòti.,Pou sonjé koté'w sòti
03/02,Péyi-a ka voyé lod : Pou pa kouri dèyè bagay ki pa vo'y.,Pou pa kouri dèyè bagay ki pa vo'y
04/02,Lalin ka pran pasé'y : Pou wouvè zyé'w byen.,Pou wouvè zyé'w byen
05/02,Konpè krab ka voyé lod : Sa ka fè'w aprann pasyans.,Sa ka fè'w aprann pasyans
06/02,Soley ka pran tan'y pou fè mizik : Pou pa fè menm erè ankò.,Pou pa fè menm erè ankò
07/02,Lanmé ka pran tan'y pou fè mizik : Pou toujou gadé douvan.,Pou toujou gadé douvan
08/02,Konpè lapen pa ka manti : Pou chonjé fòs'w.,Pou chonjé fòs'w
