Activité,Catégorie,Niveau,Couleur
Dessine la première plante que tu vois.,Relaxation,Très facile,#D7D3CF
Ferme les yeux et dessine un portrait.,Relaxation,Facile,#D8D0C2
Dessine un objet à portée de main sans lever le crayon.,Dessin,Très facile,#AEB1A0
"Dessine ta main en regardant ta main, pas ton papier.",Jeu rapide,Facile,#D8D0C2
Dessine ton humeur du moment sous forme d’abstraction.,Dessin,Intermédiaire,#D8D0C2
"Dessine un animal réel, mais avec des proportions exagérées.",Jeu rapide,Très facile,#F7F4D9
Dessine une chaise comme si elle appartenait à un dessin animé.,Jeu rapide,Facile,#F7F4D9
Dessine un objet en 30 traits maximum.,Jeu rapide,Facile,#AEB1A0
Dessine ton objet préféré en miniature.,Dessin,Très facile,#9E9D90
Dessine ton téléphone comme s’il venait du futur.,Observation,Facile,#D7D3CF
Dessine un paysage imaginaire en 1 minute.,Jeu rapide,Facile,#9E9D90
Transforme des formes aléatoires en personnages.,Écriture,Intermédiaire,#D8D0C2
Dessine une fleur sans regarder ta feuille.,Écriture,Intermédiaire,#F7F4D9
Dessine une scène en triangles.,Créativité libre,Intermédiaire,#AEB1A0
Dessine ton reflet dans une surface improvisée.,Relaxation,Intermédiaire,#D8D0C2
Dessine ce que tu entends.,Jeu rapide,Facile,#9E9D90
Dessine une spirale et remplis-la de textures.,Relaxation,Facile,#9E9D90
Dessine une maison en 10 secondes puis améliore-la.,Relaxation,Facile,#AEB1A0
Dessine un robot inspiré d’un objet proche.,Créativité libre,Facile,#D8D0C2
Dessine un paysage avec des lignes droites.,Relaxation,Intermédiaire,#AEB1A0
Dessine ton animal préféré sans le regarder.,Relaxation,Facile,#D7D3CF
Dessine un aliment que tu aimes.,Jeu rapide,Facile,#D8D0C2
Dessine une carte au trésor de ton environnement.,Écriture,Facile,#D7D3CF
Dessine un monstre amical.,Observation,Intermédiaire,#9E9D90
Dessine un objet comme si tu avais 5 ans.,Créativité libre,Très facile,#9E9D90
Dessine un objet comme s’il valait 1 million d’euros.,Relaxation,Intermédiaire,#D8D0C2
Dessine des bulles et remplis-les d’émotions.,Créativité libre,Très facile,#F7F4D9
Dessine une silhouette de fenêtre.,Relaxation,Intermédiaire,#D8D0C2
Transforme un nuage en une autre forme.,Écriture,Très facile,#D7D3CF
Crée une BD en 3 cases.,Créativité libre,Intermédiaire,#AEB1A0
Écris une phrase commençant par 'Aujourd’hui je choisis...'.,Observation,Très facile,#F7F4D9
Écris un haïku.,Dessin,Intermédiaire,#F7F4D9
Crée une mini-histoire avec 5 mots.,Jeu rapide,Intermédiaire,#AEB1A0
